app_id,title,date_release,win,mac,linux,rating,positive_ratio,user_reviews,price_final,price_original,discount,steam_deck
819480,Pizza Titan Ultra,2018-04-25,TRUE,FALSE,FALSE,Positive,93,30,11.99,11.99,0,TRUE
821940,Pillars of Eternity II: Deadfire - Beast of Winter,2018-05-08,TRUE,TRUE,TRUE,Mostly Positive,71,206,9.99,9.99,0,TRUE
858630,Aquaculture Land: Fish Farming Simulation,2022-12-22,TRUE,FALSE,FALSE,Mostly Positive,79,138,8.99,9.99,10,TRUE
869350,Because We're Here - Act I,2018-07-19,TRUE,TRUE,TRUE,Very Positive,95,70,5.99,5.99,0,TRUE
872750,Guard Duty,2019-05-02,TRUE,TRUE,TRUE,Very Positive,88,175,9.99,9.99,0,TRUE
877620,Slay the Spire - Soundtrack,2018-06-14,FALSE,FALSE,FALSE,Mixed,57,59,5.99,5.99,0,TRUE
883080,Ludo Online: Classic Multiplayer Dice Board Game,2019-10-30,TRUE,TRUE,TRUE,Very Positive,80,229,0.99,0.99,0,TRUE
887060,Asterix & Obelix XXL 2,2018-11-28,TRUE,TRUE,FALSE,Mostly Positive,79,506,29.99,29.99,0,TRUE
898590,Margonem,2019-02-20,TRUE,FALSE,FALSE,Mixed,55,238,0,0,0,TRUE
905050,Graviteam Tactics: Raid,2018-09-03,TRUE,FALSE,FALSE,Positive,86,22,5.99,5.99,0,TRUE
910880,Mad Tower Tycoon,2020-01-14,TRUE,TRUE,FALSE,Mostly Positive,78,360,14.99,14.99,0,TRUE
915490,Frontline Zed,2019-10-03,TRUE,FALSE,FALSE,Mixed,55,232,11.99,11.99,0,TRUE
922710,Knightin'+,2019-07-26,TRUE,TRUE,TRUE,Very Positive,86,176,5.99,5.99,0,TRUE
941959,Devil May Cry 5 - Sweet Surrender,2019-03-07,TRUE,FALSE,FALSE,Positive,89,28,2.99,2.99,0,TRUE
941973,Devil May Cry 5 - 1000000 Red Orbs,2019-03-07,TRUE,FALSE,FALSE,Positive,94,17,19.99,19.99,0,TRUE
971040,Pipeline VR,2021-12-13,TRUE,FALSE,FALSE,Positive,90,11,10.99,10.99,0,TRUE
1046770,Juice FX,2019-03-26,TRUE,FALSE,FALSE,Very Positive,81,75,9.99,9.99,0,TRUE
972770,Thousand Threads,2020-07-30,TRUE,TRUE,FALSE,Very Positive,87,73,19.99,19.99,0,TRUE
974400,Zaccaria Pinball - 27 Retro Tables,2018-11-09,TRUE,TRUE,TRUE,Mixed,51,56,1.99,1.99,0,TRUE
978670,Christmas Clicker: Idle Gift Builder,2018-12-15,TRUE,FALSE,FALSE,Mixed,68,64,0,0,0,TRUE
